Lektion eins: Begrüßungen , Salutation
Begrüßung und Abschied , Saluer 
Hallo , Salut
Hallo  Herr , Bonjour  monsieur
Hallo Frau , Bonjour madame
Guten Morgen , Bonjour 
Guten Tag , Bonjour
Guten Abend , Bonsoir
Gute Nacht , Bonne nuit
Tschüs , Salut
Auf Wiedersehen , Au revoir
Vorstellung , Se présenter
Wie heißen Sie? , Comment vous appelez-vous ?
Ich heiße , Je m’appelle
Nachfragen , Demander des précisions
Wie bitte? , Comment ?
Wie schreibt man das? , Comment ça s’écrit ?
Befinden , État de santé
Wie geht es Ihnen? , comment allez-vous ?
Danke sehr gut , très bien merci
Und Ihnen? , Et vous ?
Auch gut , Bien aussi
Super , Super
Sehr gut , Très bien
Gut , Bien
Es geht , Ça va
Nicht so gut , Pas très bien
Kurssprache , Langue du cours
Hören Sie , Écoutez
Lesen Sie , Lisez
Schreiben Sie , Écrivez
Sprechen Sie , Parlez
Sprechen Sie nach , Répétez
Fragen Sie , Posez des questions
Antworten Sie , Répondez
Diktieren Sie , Dictez
Ergänzen Sie , Complétez
Kreuzen Sie an , Cochez
Ordnen Sie zu , Associez 